brand,year,age,km_driven,fuel_type,transmission,inspection_grade,owner_type,city,selling_price,km_per_year
Hyundai,2016,9,151749,Petrol,Automatic,B,3rd,Pune,120272,16861
Renault,2013,12,205236,Electric,Manual,C,3rd,Mumbai,49489,17103
Mahindra,2011,14,248794,Diesel,Manual,B,1st,Chennai,100080,17771
Honda,2014,11,106942,Petrol,Automatic,A,1st,Hyderabad,201636,9722
Maruti,2023,2,30598,CNG,Automatic,B,2nd,Mumbai,342060,15299
Maruti,2020,5,61270,Diesel,Manual,C,3rd,Hyderabad,152246,12254
Maruti,2020,5,67080,Petrol,Manual,A,2nd,Delhi,203590,13416
Ford,2012,13,231439,CNG,Manual,A,1st,Pune,74113,17803
Tata,2023,2,33154,Diesel,Automatic,B,1st,Kolkata,502864,16577
Mahindra,2018,7,95473,Diesel,Manual,B,1st,Hyderabad,262237,13639
Maruti,2015,10,137380,CNG,Manual,A,1st,Chennai,88592,13738
Renault,2010,15,197385,Petrol,Automatic,A,1st,Chennai,104555,13159
Toyota,2012,13,191880,Diesel,Manual,A,2nd,Bangalore,148669,14760
Maruti,2021,4,57844,Diesel,Automatic,B,1st,Ahmedabad,369456,14461
Maruti,2013,12,213420,Petrol,Automatic,A,1st,Pune,93471,17785
Maruti,2018,7,65450,Petrol,Manual,C,3rd,Delhi,95837,9350
Hyundai,2020,5,78830,Diesel,Manual,B,1st,Delhi,329765,15766
Honda,2015,10,81730,Petrol,Manual,B,1st,Hyderabad,144126,8173
Hyundai,2013,12,198600,Diesel,Automatic,B,2nd,Chennai,126351,16550
Maruti,2010,15,250000,CNG,Automatic,C,1st,Chennai,62178,16666
Tata,2017,8,136008,Petrol,Automatic,D,2nd,Chennai,110732,17001
Maruti,2023,2,17884,Petrol,Manual,C,2nd,Kolkata,232305,8942
Maruti,2020,5,62645,Petrol,Manual,B,1st,Delhi,214279,12529
Hyundai,2011,14,117992,Diesel,Manual,C,2nd,Chennai,104443,8428
Hyundai,2020,5,49720,CNG,Manual,B,1st,Bangalore,274621,9944
Mahindra,2020,5,51775,Petrol,Manual,B,1st,Mumbai,280203,10355
Maruti,2017,8,140848,Petrol,Automatic,B,1st,Chennai,153496,17606
Honda,2015,10,123730,Diesel,Manual,B,3rd,Bangalore,113505,12373
Honda,2017,8,89824,Diesel,Manual,A,1st,Bangalore,267539,11228
Maruti,2015,10,158950,Petrol,Automatic,A,1st,Mumbai,116009,15895
Tata,2014,11,134893,Diesel,Manual,A,2nd,Ahmedabad,114683,12263
Maruti,2014,11,149105,Petrol,Manual,D,1st,Delhi,49875,13555
Maruti,2023,2,29026,Diesel,Manual,A,2nd,Chennai,375983,14513
Volkswagen,2023,2,24086,Petrol,Automatic,B,1st,Pune,580506,12043
Renault,2019,6,94074,Petrol,Manual,D,2nd,Bangalore,113753,15679
Toyota,2019,6,87132,CNG,Manual,B,2nd,Ahmedabad,266472,14522
Hyundai,2020,5,42840,Diesel,Automatic,B,1st,Bangalore,472377,8568
Maruti,2017,8,128232,Petrol,Automatic,C,3rd,Kolkata,103911,16029
Tata,2016,9,128178,CNG,Automatic,B,1st,Mumbai,157719,14242
Hyundai,2017,8,81680,Diesel,Manual,A,1st,Pune,235823,10210
Maruti,2021,4,64100,Petrol,Automatic,C,1st,Ahmedabad,254275,16025
Honda,2017,8,107152,Diesel,Manual,A,3rd,Bangalore,214620,13394
Maruti,2016,9,136116,CNG,Manual,C,1st,Chennai,84596,15124
Ford,2011,14,116802,Diesel,Manual,A,3rd,Delhi,110351,8343
Maruti,2020,5,52915,Petrol,Automatic,B,2nd,Bangalore,222923,10583
Tata,2018,7,103257,Diesel,Manual,B,2nd,Delhi,177176,14751
Hyundai,2022,3,33576,Diesel,Manual,D,3rd,Bangalore,244822,11192
Honda,2016,9,73377,Diesel,Manual,B,2nd,Bangalore,197091,8153
Honda,2021,4,60996,Petrol,Manual,D,2nd,Ahmedabad,208397,15249
Maruti,2020,5,77220,Diesel,Manual,B,2nd,Chennai,201718,15444
Renault,2015,10,122210,Petrol,Manual,C,2nd,Ahmedabad,60997,12221
Mahindra,2018,7,93821,Diesel,Automatic,B,1st,Delhi,331105,13403
Volkswagen,2022,3,47409,CNG,Manual,A,2nd,Pune,347791,15803
Ford,2010,15,148050,Petrol,Automatic,C,2nd,Hyderabad,95004,9870
Honda,2020,5,79790,Petrol,Automatic,A,2nd,Chennai,419546,15958
Volkswagen,2011,14,157528,Diesel,Manual,B,1st,Delhi,140143,11252
Maruti,2022,3,41820,Diesel,Manual,C,2nd,Delhi,245717,13940
Maruti,2010,15,173205,Petrol,Automatic,D,1st,Delhi,64461,11547
Maruti,2019,6,71442,Diesel,Manual,B,3rd,Kolkata,165650,11907
Hyundai,2021,4,70304,CNG,Manual,B,1st,Hyderabad,315240,17576
Hyundai,2012,13,195078,Diesel,Manual,B,2nd,Chennai,91240,15006
Maruti,2020,5,79020,Diesel,Automatic,C,1st,Kolkata,250596,15804
Toyota,2014,11,104225,Petrol,Manual,D,2nd,Hyderabad,93712,9475
Hyundai,2010,15,180015,CNG,Manual,B,1st,Bangalore,85567,12001
Maruti,2013,12,208188,Petrol,Automatic,B,2nd,Mumbai,68928,17349
Honda,2023,2,23868,Petrol,Automatic,A,1st,Hyderabad,649797,11934
Maruti,2022,3,38970,Petrol,Manual,A,3rd,Bangalore,212321,12990
Toyota,2017,8,102280,Diesel,Manual,C,1st,Hyderabad,237851,12785
Maruti,2015,10,118630,CNG,Manual,D,3rd,Delhi,45184,11863
Kia,2022,3,31560,Petrol,Automatic,C,2nd,Mumbai,426339,10520
Mahindra,2010,15,181500,Diesel,Manual,D,1st,Mumbai,77513,12100
Maruti,2021,4,62932,Diesel,Automatic,B,2nd,Pune,306927,15733
Maruti,2010,15,131655,Diesel,Automatic,B,2nd,Bangalore,102796,8777
Toyota,2012,13,213356,Diesel,Automatic,B,2nd,Kolkata,162228,16412
Mahindra,2023,2,35642,Petrol,Automatic,B,1st,Kolkata,565762,17821
Mahindra,2019,6,57246,Petrol,Manual,B,3rd,Pune,191778,9541
Mahindra,2017,8,109176,CNG,Manual,B,2nd,Hyderabad,143656,13647
Maruti,2020,5,78695,Petrol,Manual,B,1st,Hyderabad,188809,15739
Hyundai,2020,5,85780,Petrol,Manual,C,2nd,Kolkata,187258,17156
Maruti,2023,2,28110,Diesel,Manual,C,1st,Hyderabad,283308,14055
Ford,2017,8,117144,CNG,Manual,C,1st,Bangalore,117455,14643
Tata,2022,3,44550,Diesel,Automatic,B,1st,Hyderabad,472464,14850
Hyundai,2012,13,223405,Petrol,Automatic,B,2nd,Ahmedabad,99422,17185
Maruti,2016,9,103680,Petrol,Manual,A,1st,Mumbai,124799,11520
Hyundai,2021,4,57552,Diesel,Manual,B,2nd,Ahmedabad,333652,14388
Hyundai,2012,13,213889,Petrol,Manual,B,1st,Mumbai,86361,16453
Mahindra,2013,12,151656,Petrol,Automatic,A,1st,Chennai,149245,12638
Tata,2018,7,79954,Petrol,Manual,B,1st,Hyderabad,168760,11422
Ford,2022,3,30243,Diesel,Automatic,B,2nd,Hyderabad,437269,10081
Hyundai,2013,12,101844,Petrol,Automatic,A,1st,Pune,178075,8487
Maruti,2012,13,233636,Petrol,Automatic,B,1st,Mumbai,78365,17972
Mahindra,2014,11,125620,Petrol,Automatic,B,1st,Mumbai,144714,11420
Mahindra,2016,9,140517,Petrol,Automatic,A,1st,Delhi,194056,15613
Honda,2014,11,160743,Petrol,Automatic,B,3rd,Delhi,123897,14613
Mahindra,2013,12,173244,Diesel,Manual,B,3rd,Chennai,93764,14437
Honda,2017,8,103864,Diesel,Manual,B,1st,Mumbai,245765,12983
Honda,2013,12,117384,Petrol,Automatic,B,1st,Chennai,171001,9782
Hyundai,2011,14,217770,Petrol,Manual,B,2nd,Hyderabad,67819,15555
Maruti,2019,6,49656,Petrol,Manual,A,1st,Hyderabad,217013,8276
Maruti,2022,3,53673,Petrol,Automatic,A,2nd,Mumbai,325531,17891
Maruti,2023,2,33378,Petrol,Automatic,C,1st,Bangalore,304473,16689
Tata,2015,10,133620,Petrol,Manual,B,1st,Ahmedabad,98276,13362
Hyundai,2011,14,224532,Petrol,Manual,B,1st,Chennai,73063,16038
Honda,2012,13,155064,Electric,Manual,B,2nd,Bangalore,105460,11928
Ford,2010,15,186810,Petrol,Manual,D,1st,Ahmedabad,54756,12454
Maruti,2014,11,119229,CNG,Automatic,B,1st,Ahmedabad,98025,10839
Hyundai,2018,7,57939,Petrol,Manual,B,1st,Hyderabad,201903,8277
Mahindra,2011,14,171724,Petrol,Automatic,A,1st,Pune,144491,12266
Maruti,2021,4,38076,Diesel,Manual,B,1st,Kolkata,284255,9519
Maruti,2016,9,133488,Petrol,Manual,B,1st,Chennai,91625,14832
Maruti,2014,11,137181,Petrol,Automatic,A,3rd,Hyderabad,95091,12471
Maruti,2011,14,183918,Electric,Manual,A,1st,Delhi,76815,13137
Volkswagen,2017,8,115544,Petrol,Manual,D,1st,Mumbai,127488,14443
Toyota,2020,5,61020,Petrol,Automatic,C,3rd,Delhi,309586,12204
Tata,2022,3,51741,Petrol,Automatic,C,2nd,Kolkata,272208,17247
Ford,2022,3,28395,CNG,Manual,C,2nd,Kolkata,230639,9465
Toyota,2015,10,90790,CNG,Manual,A,2nd,Chennai,170230,9079
Maruti,2013,12,215460,Petrol,Manual,C,2nd,Delhi,41708,17955
Ford,2022,3,31482,Petrol,Automatic,B,1st,Pune,409716,10494
Honda,2013,12,175620,Diesel,Automatic,B,2nd,Kolkata,142299,14635
Toyota,2011,14,239120,Petrol,Manual,C,1st,Ahmedabad,88283,17080
Ford,2012,13,212199,Petrol,Manual,A,1st,Chennai,91439,16323
Hyundai,2016,9,157077,Diesel,Automatic,C,1st,Bangalore,163648,17453
Maruti,2012,13,107237,Petrol,Manual,B,2nd,Mumbai,73475,8249
Maruti,2022,3,27195,Diesel,Automatic,B,2nd,Ahmedabad,367701,9065
Hyundai,2014,11,98956,CNG,Automatic,D,2nd,Bangalore,101028,8996
Toyota,2019,6,49380,Diesel,Automatic,C,1st,Pune,482648,8230
Ford,2015,10,170190,Petrol,Automatic,A,1st,Hyderabad,119748,17019
Maruti,2015,10,84030,Petrol,Manual,B,2nd,Kolkata,72058,8403
Honda,2023,2,24152,Petrol,Manual,B,2nd,Mumbai,401431,12076
Hyundai,2013,12,143556,Petrol,Automatic,A,1st,Delhi,159116,11963
Maruti,2015,10,114520,Petrol,Manual,C,1st,Chennai,66500,11452
Maruti,2012,13,208598,Petrol,Manual,A,2nd,Mumbai,63659,16046
Hyundai,2016,9,143604,Petrol,Manual,A,1st,Hyderabad,147363,15956
Volkswagen,2016,9,109998,Petrol,Manual,A,2nd,Kolkata,150296,12222
Hyundai,2013,12,165168,Petrol,Manual,B,2nd,Ahmedabad,85977,13764
Honda,2011,14,230034,Diesel,Automatic,A,1st,Bangalore,179182,16431
Mahindra,2020,5,78585,Diesel,Manual,B,1st,Kolkata,326860,15717
Hyundai,2016,9,132417,Petrol,Manual,B,3rd,Hyderabad,106586,14713
Renault,2012,13,219427,Diesel,Manual,B,2nd,Delhi,64982,16879
Renault,2010,15,248310,Diesel,Manual,A,1st,Chennai,77141,16554
Maruti,2011,14,171766,Petrol,Automatic,B,1st,Kolkata,97532,12269
Honda,2019,6,77700,Petrol,Manual,B,1st,Chennai,283004,12950
Hyundai,2018,7,72128,Diesel,Manual,B,1st,Delhi,261024,10304
Maruti,2021,4,40588,Petrol,Manual,A,2nd,Chennai,228100,10147
Maruti,2017,8,84272,Petrol,Automatic,A,1st,Ahmedabad,184554,10534
Tata,2023,2,35126,Electric,Manual,B,2nd,Mumbai,304340,17563
Honda,2015,10,105920,Petrol,Manual,C,3rd,Mumbai,89170,10592
Maruti,2023,2,22874,Diesel,Manual,A,1st,Delhi,411648,11437
Maruti,2015,10,132710,Petrol,Manual,B,1st,Delhi,73052,13271
Ford,2023,2,21258,Petrol,Manual,B,2nd,Hyderabad,308871,10629
Maruti,2010,15,221955,Petrol,Automatic,D,2nd,Chennai,47984,14797
Maruti,2011,14,228018,Diesel,Manual,C,1st,Kolkata,63588,16287
Honda,2013,12,198360,Petrol,Automatic,D,2nd,Pune,83062,16530
Kia,2012,13,229697,Petrol,Manual,C,2nd,Bangalore,71268,17669
Maruti,2023,2,18214,CNG,Manual,B,1st,Ahmedabad,302341,9107
Tata,2010,15,234600,Petrol,Automatic,C,1st,Delhi,74066,15640
Mahindra,2017,8,97760,Petrol,Manual,B,1st,Ahmedabad,177170,12220
Maruti,2016,9,93483,Petrol,Automatic,B,3rd,Hyderabad,109981,10387
Mahindra,2013,12,103800,Diesel,Automatic,B,1st,Delhi,204090,8650
Hyundai,2021,4,54512,Petrol,Automatic,B,1st,Kolkata,415403,13628
Tata,2021,4,59260,Petrol,Manual,C,1st,Ahmedabad,215197,14815
Tata,2018,7,66052,Petrol,Manual,A,3rd,Delhi,164025,9436
Honda,2020,5,56785,Petrol,Manual,A,1st,Mumbai,371807,11357
Maruti,2023,2,22314,Diesel,Manual,C,2nd,Pune,263419,11157
Toyota,2013,12,146808,Diesel,Manual,B,1st,Chennai,163735,12234
Hyundai,2010,15,250000,Petrol,Manual,C,2nd,Pune,54049,16666
Maruti,2019,6,52218,Petrol,Manual,D,2nd,Ahmedabad,115087,8703
Maruti,2010,15,210795,Petrol,Manual,B,1st,Delhi,60421,14053
Honda,2010,15,138165,Diesel,Automatic,A,1st,Chennai,223402,9211
Tata,2010,15,250000,Petrol,Automatic,B,1st,Hyderabad,87172,16666
Maruti,2013,12,155976,Petrol,Manual,C,1st,Ahmedabad,63931,12998
Honda,2010,15,241965,Electric,Automatic,A,2nd,Delhi,120098,16131
Maruti,2011,14,216426,Petrol,Manual,A,1st,Pune,73918,15459
Tata,2013,12,108732,Electric,Manual,A,2nd,Bangalore,97504,9061
Maruti,2016,9,81531,Petrol,Manual,B,1st,Pune,105366,9059
Tata,2011,14,228284,Petrol,Automatic,B,1st,Mumbai,83685,16306
Hyundai,2017,8,133640,Petrol,Manual,C,1st,Bangalore,138682,16705
Volkswagen,2022,3,49506,Petrol,Manual,C,1st,Ahmedabad,327474,16502
Maruti,2016,9,161829,Petrol,Automatic,C,1st,Mumbai,101159,17981
Hyundai,2018,7,61908,Petrol,Manual,B,1st,Delhi,204690,8844
Maruti,2023,2,22518,Electric,Automatic,B,1st,Pune,411638,11259
Volkswagen,2015,10,121200,Petrol,Manual,B,2nd,Ahmedabad,101595,12120
